,id,name,goals,assists
20,27430.0, Dimitar Berbatov,9,10
21,30829.0, Wayne Rooney,12,7
16,24154.0, Ryan Giggs,2,7
13,34944.0, Michael Carrick,4,6
11,30893.0, Cristiano Ronaldo,18,6
17,40945.0, Nani,1,4
5,24150.0, John O'Shea,0,3
19,38817.0, Carlos Tevez,5,3
8,32569.0, Patrice Evra,0,2
12,30802.0, Ji-Sung Park,2,2
14,30373.0, Paul Scholes,2,2
7,30865.0, Nemanja Vidic,4,1
3,38994.0, Rafael,1,0
2,30362.0, Wes Brown,1,0
18,24157.0, Fraizer Campbell,0,0
4,30615.0, Gary Neville,0,0
15,40961.0, Anderson,0,0
6,30620.0, Rio Ferdinand,0,0
1,35906.0, Tomasz Kuszczak,0,0
10,24148.0, Darren Fletcher,3,0
9,43248.0, Jonny Evans,0,0
0,30726.0, Edwin van der Sar,0,0
